"filename", "language", "TypeScript React", "TypeScript", "Less", "comment", "blank", "total"
"c:\Users\zo1\Desktop\winchi-antd\src\App.less", "Less", 0, 0, 25, 2, 5, 32
"c:\Users\zo1\Desktop\winchi-antd\src\App.tsx", "TypeScript React", 145, 0, 0, 0, 16, 161
"c:\Users\zo1\Desktop\winchi-antd\src\Form\Item\index.less", "Less", 0, 0, 13, 0, 3, 16
"c:\Users\zo1\Desktop\winchi-antd\src\Form\Item\index.tsx", "TypeScript React", 44, 0, 0, 1, 6, 51
"c:\Users\zo1\Desktop\winchi-antd\src\Form\List\index.less", "Less", 0, 0, 39, 0, 9, 48
"c:\Users\zo1\Desktop\winchi-antd\src\Form\List\index.tsx", "TypeScript React", 96, 0, 0, 0, 9, 105
"c:\Users\zo1\Desktop\winchi-antd\src\Form\ResolveChidren.tsx", "TypeScript React", 23, 0, 0, 0, 6, 29
"c:\Users\zo1\Desktop\winchi-antd\src\Form\formType.tsx", "TypeScript React", 89, 0, 0, 1, 14, 104
"c:\Users\zo1\Desktop\winchi-antd\src\Form\index.less", "Less", 0, 0, 30, 0, 6, 36
"c:\Users\zo1\Desktop\winchi-antd\src\Form\index.tsx", "TypeScript React", 193, 0, 0, 6, 29, 228
"c:\Users\zo1\Desktop\winchi-antd\src\Page\Test.tsx", "TypeScript React", 217, 0, 0, 0, 9, 226
"c:\Users\zo1\Desktop\winchi-antd\src\Page\index.tsx", "TypeScript React", 99, 0, 0, 3, 12, 114
"c:\Users\zo1\Desktop\winchi-antd\src\Table\Base.tsx", "TypeScript React", 159, 0, 0, 10, 19, 188
"c:\Users\zo1\Desktop\winchi-antd\src\Table\FormTable\index.less", "Less", 0, 0, 7, 0, 1, 8
"c:\Users\zo1\Desktop\winchi-antd\src\Table\FormTable\index.tsx", "TypeScript React", 40, 0, 0, 0, 6, 46
"c:\Users\zo1\Desktop\winchi-antd\src\Table\HeadTable\index.less", "Less", 0, 0, 29, 0, 7, 36
"c:\Users\zo1\Desktop\winchi-antd\src\Table\HeadTable\index.tsx", "TypeScript React", 241, 0, 0, 6, 33, 280
"c:\Users\zo1\Desktop\winchi-antd\src\Table\TypeTable\index.less", "Less", 0, 0, 10, 0, 2, 12
"c:\Users\zo1\Desktop\winchi-antd\src\Table\TypeTable\index.tsx", "TypeScript React", 197, 0, 0, 11, 19, 227
"c:\Users\zo1\Desktop\winchi-antd\src\Table\index.less", "Less", 0, 0, 5, 0, 1, 6
"c:\Users\zo1\Desktop\winchi-antd\src\Table\index.tsx", "TypeScript React", 20, 0, 0, 1, 11, 32
"c:\Users\zo1\Desktop\winchi-antd\src\Upload\index.less", "Less", 0, 0, 0, 0, 1, 1
"c:\Users\zo1\Desktop\winchi-antd\src\Upload\index.tsx", "TypeScript React", 18, 0, 0, 0, 7, 25
"c:\Users\zo1\Desktop\winchi-antd\src\d.d.ts", "TypeScript", 0, 67, 0, 42, 13, 122
"c:\Users\zo1\Desktop\winchi-antd\src\hooks\index.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Users\zo1\Desktop\winchi-antd\src\hooks\useWcConfig.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Users\zo1\Desktop\winchi-antd\src\index.tsx", "TypeScript React", 4, 0, 0, 0, 2, 6
"c:\Users\zo1\Desktop\winchi-antd\src\src\ao.ts", "TypeScript", 0, 41, 0, 11, 11, 63
"c:\Users\zo1\Desktop\winchi-antd\src\src\array.ts", "TypeScript", 0, 60, 0, 10, 16, 86
"c:\Users\zo1\Desktop\winchi-antd\src\src\func.ts", "TypeScript", 0, 101, 0, 2, 23, 126
"c:\Users\zo1\Desktop\winchi-antd\src\src\index.ts", "TypeScript", 0, 44, 0, 0, 10, 54
"c:\Users\zo1\Desktop\winchi-antd\src\src\isWhat.ts", "TypeScript", 0, 5, 0, 0, 4, 9
"c:\Users\zo1\Desktop\winchi-antd\src\src\number.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\Users\zo1\Desktop\winchi-antd\src\src\string.ts", "TypeScript", 0, 4, 0, 0, 4, 8
"c:\Users\zo1\Desktop\winchi-antd\src\typings.d.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Users\zo1\Desktop\winchi-antd\src\utils.ts", "TypeScript", 0, 35, 0, 0, 6, 41
"Total", "-", 1585, 381, 158, 106, 325, 2555